Species,Family,Habit,CommonName
Galium andrewsii,Rubiaceae,PH,"Pine Mat, Phlox-leaved Bedstraw"
Galium aparine,Rubiaceae,AH,Goosegrass
Garrya,Garryaceae,S,Silk-tassel Bushes
Gaultheria shallon,Ericaceae,S,Salal
Gayophytum diffusum,Onagraceae,AH,Diffuse Gayophytum
Genista monspessulana,Fabaceae,S,French Broom
Gilia ochroleuca,Polemoniaceae,AH,Desert Gilia
Gilia tricolor,Polemoniaceae,AH,Bird's Eye Gilia
Gnaphalium palustre,Asteraceae,AH,Lowland Cudweed
Hazardia squarrosa,Asteraceae,S,Sawtooth Goldenbush
Hedera,Araliaceae,PV,Ivy
Helenium bigelovii,Asteraceae,PH,Sneezeweed
Helianthus annuus,Asteraceae,AH,Common Sunflower
Helminthotheca echioides,Asteraceae,AH,Bristly Ox-tongue
Heracleum maximum,Apiaceae,PH,Cowparsnip
Hesperocyparis,Cupressaceae,T,Cypress
Hesperoyucca whipplei,Agavaceae,S,Our Lord’s Candle
Heteromeles arbutifolia,Rosaceae,S,"Toyon, Christmas Holly,"
Heterotheca grandiflora,Asteraceae,PH,Telegraph Weed
Heterotheca sessiliflora,Asteraceae,PH,Hairy Goldenaster
Heuchera micrantha,Saxifragaceae,PH,Crevice Alumroot
Hirschfeldia incana,Brassicaceae,PH,Summer Mustard
Holocarpha virgata,Asteraceae,AH,Common Tarweed
Holodiscus discolor,Rosaceae,S,Cream Bush
Hordeum marinum,Poaceae,AG,Mediterranean Barley
Hordeum murinum,Poaceae,AG,Summer Barley
Hypericum perforatum,Hypericaceae,PH,St. John's Wort
Ipomopsis aggregata,Polemoniaceae,PH,Scarlet Gilia
Iris douglasiana,Iridaceae,PG,Douglas Iris
Iris macrosiphon,Iridaceae,PG,Ground Iris
Iris missouriensis,Iridaceae,PG,Missouri Iris
Iris pseudacorus,Iridaceae,PG,Iris
Isocoma menziesii,Asteraceae,S,Coastal Goldenbush
Juglans californica,Juglandaceae,T,Southern California Black Walnut
Juglans hindsii,Juglandaceae,T,Northern California Black Walnut
Juncus balticus,Juncaceae,PG,Baltic Rush
Juncus bufonius,Juncaceae,AG,Common Toad Rush
Juncus mexicanus,Juncaceae,PG,"Mexican Rush, Wire Grass"
Juncus xiphioides,Juncaceae,PG,Iris-leaved Rush
Juniperus californica,Cupressaceae,S,California Juniper
Juniperus occidentalis,Cupressaceae,S,Western Juniper
Kalmia polifolia,Ericaceae,S,Mountain Laurel
Keckiella,Plantaginaceae,S,Bush Penstemons
Koeleria macrantha,Poaceae,PG,Junegrass
Lactuca serriola,Asteraceae,AH,Prickly Wild Lettuce
Lamarckia aurea,Poaceae,AG,Goldentop
Larrea tridentata,Zygophyllaceae,S,Creosote Bush
Lasthenia,Asteraceae,AH,Goldfields
Lathyrus latifolius,Fabaceae,PV,Everlasting Pea
Lathyrus sulphureus,Fabaceae,PV,Snub Pea
Lathyrus vestitus,Fabaceae,PV,Pacific Peavine
Layia glandulosa,Asteraceae,AH,White Layia
Lepidospartum squamatum,Asteraceae,S,Scalebroom
Leptosiphon aureus,Polemoniaceae,AH,Desert Gold
Leptosiphon parviflorus,Polemoniaceae,AH,Yellow Linanthus
Leptosyne bigelovii,Asteraceae,AH,Bigelow Coreopsis
Lilium humboldtii,Liliaceae,PG,Humboldt Lily
Lilium pardalinum,Liliaceae,PG,Leopard Lily
Limnanthes alba,Limnanthaceae,AH,White Meadowfoam
Linanthus pungens,Polemoniaceae,S,Granite Prickly Phlox
Linaria dalmatica,Linaceae,PH,Dalmatian Toadflax
Lolium multiflorum,Poaceae,AG,Italian Ryegrass
Lomatium dasycarpum,Apiaceae,PH,Hog Fennel
Lonicera interrupta,Caprifoliaceae,PV,Chaparral Honeysuckle
Lonicera involucrata,Caprifoliaceae,S,Twinberry Honeysuckle
Lonicera subspicata,Caprifoliaceae,S,Southern or San Diego
Lupinus,Fabaceae,S,Lupines
Lysimachia arvensis,Myrsinaceae,AH,Scarlet Pimpernel
Lythrum hyssopifolia,Lythraceae,PH,Hyssop Loosestrife
Lythrum salicaria,Lythraceae,PH,Purple Loosestrife
Madia elegans,Asteraceae,AH,Common Tarplant or Madia
Maianthemum racemosum,Ruscaceae,PH,False Solomon Seal
Malacothamnus,Malvaceae,S,Bushmallows
Malacothrix coulteri,Asteraceae,AH,Snake Heads
Malacothrix saxatilis,Asteraceae,PH,Tenuated Cliff-aster
Malosma laurina,Anacardiaceae,S,Laurelleaf Sumac
Malva parviflora,Malvaceae,AH,Cheeseweed
Marah fabacea,Cucurbitaceae,PV,California Man-root
Marrubium vulgare,Lamiaceae,S,White Horehound
Marsilea vestita,Marsileaceae,PF,Hairy Waterclover
Matricaria discoidea,Asteraceae,AH,Pineappleweed
Medicago polymorpha,Fabaceae,AH,Common Burclover
Melica californica,Poaceae,PG,California Melic Grass
Melica imperfecta,Poaceae,PG,Coast Melic Grass
Melilotus alba,Fabaceae,A/BH,White Sweetclover
Melilotus indica,Fabaceae,AH,"Sourclover, Yellow Sweetclover"
Mentzelia laevicaulis,Loasaceae,PH,Blazing Star
Mesembryanthemum nodiflorum,Aizoaceae,AH,Slenderleaf Iceplant
Minuartia douglasii,Caryophyllaceae,AH,Douglas Sandwort
Monardella,Lamiaceae,A/PH,Coyote Mint
Morella californica,Myricaceae,T/S,California Myrtle
Nasturtium officinale,Brassicaceae,PH,Water Cress
Nemophila maculata,Hydrophyllaceae,AH,Five Spot
Nemophila menziesii,Hydrophyllaceae,AH,Baby Blue-eyes
Nicotiana glauca,Solanaceae,S,Tree Tobacco
Notholithocarpus densiflorus,Fagaceae,ST,Tanoak
Oemleria cerasiformis,Rosaceae,S,Oso Berry
Opuntia basilaris,Cactaceae,S,Beavertail Cactus
Opuntia littoralis,Cactaceae,S,Coastal Prickly Pear
Orobanche fasciculata,Orobanchaceae,PH,Clustered Broom-rape
Oxalis oregana,Oxalidaceae,PH,Redwood Sorrel
Oxalis pes-caprae,Oxalidaceae,PH,Bermuda Buttercup
Pectocarya setosa,Boraginaceae,AH,Setose Pectocarya
Pedicularis densiflora,Orobanchaceae,PH,Indian Warrior
Pellaea andromedifolia,Pteridaceae,PF,Coffee Fern
Pellaea mucronata,Pteridaceae,PF,Birdsfoot Cliffbrake or Fern
Pennisetum setaceum,Poaceae,PG,African Fountain Grass
Penstemon centranthifolius,Plantaginaceae,PH,Scarlet Bugler
Penstemon heterophyllus,Plantaginaceae,PH,Mountain Penstemon
Pentagramma triangularis,Pteridaceae,PF,Goldenback Fern
Peritoma arborea,Cleomaceae,S,Bladderpod
Phacelia,Boraginaceae,AH,Phacelias
Pickeringia montana,Fabaceae,S,Chaparral Pea
Pinus attenuata,Pinaceae,T,Knobcone Pine
