Scientific Name,Common Name,Habit,Family
Pinus radiata,Monterey Pine,T,Pinaceae
Pinus sabiniana,Gray or Foothill Pine,T,Pinaceae
Plantago erecta,California Plantain,AH,Plantaginaceae
Plantago lanceolata,Narrowleaf or English Plantain,PH,Plantaginaceae
Plantago major,Broadleaf Plantain,PH,Plantaginaceae
Platanthera dilatata,Sierra Bog Orchid,PH,Orchidaceae
Platanus racemosa,California or Western Sycamore,T,Platanaceae
Platystemon californicus,Cream Cups,AH,Papaveraceae
Poa bulbosa,Bulbous Bluegrass,PG,Poaceae
Poa pratensis,Kentucy Bluegrass,PG,Poaceae
Poa secunda,One-sided Bluegrass,PG,Poaceae
Pogogyne spp.,Mesamint,AH,Lamiaceae
Polygala cornuta,Milkwort,S,Polygalaceae
Polygonum aviculare ssp. depressum,"Common Knotweed, Doorweed",AH,Polygonaceae
Polypodium spp.,Polypody Fern,PF,Polypodiaceae
Polypogon monspeliensis,Rabbistsfoot or Annual Beardgrass,AG,Poaceae
Polystichum spp.,Sword Ferns,PF,Dryopteridaceae
Populus fremontii,Fremont Cottonwood,T,Salicaceae
Populus tremuloides,Quaking Aspen,T,Salicaceae
Populus trichocarpa,Black Cottonwood,T,Salicaceae
Portulaca oleracea,Common Purslane,AH,Portulacaceae
Primula  hendersonii,Henderson's Shooting-star,PH,Primulaceae
Primula  jeffreyi,Sierra Shooting-star,PH,Primulaceae
Prosopis glandulosa,Honey Mesquite,S/T,Fabaceae
Prunella vulgaris,Selfheal,PH,Lamiaceae
Prunus emarginata,Bitter Cherry,S,Rosaceae
Prunus ilicifolia,Hollyleaf Cherry,S,Rosaceae
Prunus virginiana,Western Chokecherry,S,Rosaceae
Pseudognaphalium bioletti,Bicolored Everlasting,A/BH,Asteraceae
Pseudognaphalium californicum,Green Everlasting,A/BH,Asteraceae
Pseudognaphalium luteoalbum,Cudweed Everlasting,AH,Asteraceae
Pseudognaphalium microcephalum,White Everlasting,AH,Asteraceae
Pseudognaphalium stramineum,"Western Everlasting, Cotton-batting",A/BH,Asteraceae
Pseudotsuga menziesii,Douglas-fir,T,Pinaceae
Psorothamnus spinosus,Smoke Tree,T,Fabaceae
Pteridium aquilinum,Western Brackenfern,PF,Dennstaedtiaceae
Pterospora andromedea,Pinedrops,PH,Ericaceae
Purshia tridentata,Bitterbrush,S,Rosaceae
Quercus agrifolia,Coast Live Oak,T,Fagaceae
Quercus berberidifolia,California Scrub Oak,S,Fagaceae
Quercus chrysolepis,Canyon Live or Goldencup Oak,T,Fagaceae
Quercus douglasii,Blue Oak,T,Fagaceae
Quercus garryana,Oregon White Oak,T,Fagaceae
Quercus john-tuckeri,"Tucker Oak, Desert Scrub Oak",S,Fagaceae
Quercus kelloggii,Black Oak,T,Fagaceae
Quercus lobata,Valley Oak,T,Fagaceae
Quercus vaccinifolia,Huckleberry Oak,S,Fagaceae
Quercus wislizeni,Interior Live Oak,T,Fagaceae
Rafinesquia californica,California Rafinesquia or Chicory,AH,Asteraceae
Ranunculus occidentalis,Western Buttercup,PH,Ranunculaceae
Raphanus sativus,Wild Radish,AH,Brassicaceae
Rhamnus crocea,Spiny Redberry,S,Rhamnaceae
Rhamnus ilicifolia,"Hollyleaf Redberry, Buckthorn",S,Rhamnaceae
Rhododendron columbianum,Western Labrador Tea,S,Ericaceae
Rhododendron macrophyllum,Coast Rhododendron,S,Ericaceae
Rhododendron occidentale,Western Azalea,S,Ericaceae
Rhus integrifolia,Lemonade Berry,S,Anacardiaceae
Ribes aureum,Golden Currant,S,Grossulariaceae
Ribes cereum,Wax Currant,S,Grossulariaceae
Ribes malvaceum,Chaparral Currant,S,Grossulariaceae
Ribes nevadense,Sierra Currant,S,Grossulariaceae
Ribes roezlii,Sierra Gooseberry,S,Grossulariaceae
Ricinus communis,Castor Bean,S,Euphorbiaceae
Robinia pseudoacacia,Black Locust,T,Fabaceae
Rosa californica,California Wild Rose,S,Rosaceae
Rosa gymnocarpa,Wood Rose,S,Rosaceae
Rubus armeniacus,Himalayan Blackberry,S,Rosaceae
Rubus parviflorus,Thimbleberry,S,Rosaceae
Rubus spectabilis,Salmonberry,S,Rosaceae
Rubus ursinus,Pacific Blackberry,S,Rosaceae
Rumex acetosella,Sheep Sorrel,PH,Polygonaceae
Rumex crispus,Curly Dock,PH,Polygonaceae
Salix spp.,Willows,S,Salicaceae
Salsola tragus,"Russian Thistle, Tumbleweed",AH,Chenopodiaceae
Saltugilia splendens,Splendid Woodland-gilia,AH,Polemoniaceae
Salvia apiana,White Sage,S,Lamiaceae
Salvia columbariae,Chia,AH,Lamiaceae
Salvia leucophylla,Purple Sage,S,Lamiaceae
Salvia mellifera,Black Sage,S,Lamiaceae
Salvia sonomensis,Sonoma Sage,S,Lamiaceae
Sambucus nigra ssp. caerulea,Blue Elderberry,S,Adoxaceae
Sambucus racemosa,Red Elderberry,S,Adoxaceae
Sanicula arguta,Southern California Sanicle,PH,Apiaceae
Sanicula bipinnatifida,Purple Sanicle,PH,Apiaceae
Sanicula crassicaulis,Pacific Sanicle,PH,Apiaceae
Schinus molle,Peruvian Pepper Tree,T,Anacardiaceae
Schinus terebinthifolius,Brazilian Pepper Tree,T,Anacardiaceae
