Term,Definition
Heterotheca grandiflora,Telegraph Weed
Sedum spathulifolium,Pacific Stonecrop
Datisca glomerata,Durango Root
Trichostema lanatum,"Woolly Bluecurls, Romero"
Lythrum hyssopifolia,Hyssop Loosestrife
Fraxinus dipetala,California Flowering Ash
Argemone munita,"Prickly Poppy, Chicalote"
Ehrendorferia chrysantha,Golden Eardrops
Plantago major,Broadleaf Plantain
Leptosiphon parviflorus,Yellow Linanthus
Clematis ligusticifolia,"Virgin’s Bower, Old Man’s Beard"
Verbascum thapsus,Woolly Mullein
Cyperus eragrostis,Umbrella-sedge
Eleocharis macrostachya,Common Spikerush
Schoenoplectus americanus,American Bulrush
Eremalche rotundifolia,Desert Five-spot
Cercis occidentalis,Western Redbud
Sequoiadendron giganteum,"Big Tree, Giant Sequoia"
Lilium humboldtii,Humboldt Lily
Nemophila maculata,Five Spot
Marsilea vestita,Hairy Waterclover
Cirsium arvense,Canada Thistle
Atriplex semibaccata,Australian Saltbush
Ficus carica,Common Fig
Anemopsis californica,Yerba Mansa
Veratrum californicum,California Corn-lily
Aconitum columbianum,Monkshood
Rhododendron occidentale,Western Azalea
Lonicera interrupta,Chaparral Honeysuckle
Lonicera involucrata,Twinberry Honeysuckle
Cakile maritima,Sea Rocket
Lathyrus latifolius,Everlasting Pea
Festuca rubra,Red Fescue
Thermopsis californica,California False-lupine
Festuca idahoensis,Blue Fescue
Rubus armeniacus,Himalayan Blackberry
Lythrum salicaria,Purple Loosestrife
Helenium bigelovii,Sneezeweed
Collomia grandiflora,Large-flowered Collomia
Silene laciniata,Mexican or Indian Pink
Mentzelia laevicaulis,Blazing Star
Acer glabrum,Rocky Mountain Maple
Fremontodendron californicum,California Flannel Bush
Aspidotis densa,Lace Fern
Equisetum laevigatum,Smooth Scouring-Rush
Fraxinus latifolia,Oregon Ash
Prunus emarginata,Bitter Cherry
Vitis californica,California Wild Grape
Calycanthus occidentalis,Spicebush
Salvia sonomensis,Sonoma Sage
Cercocarpus betuloides,Birchleaf Mountain Mahogany
Arundo donax,Giant Reed
Pinus lambertiana,Sugar Pine
Pinus attenuata,Knobcone Pine
Solanum douglasii,Douglas Nightshade
Acourtia microcephala,Sacapellote
Malosma laurina,Laurelleaf Sumac
Eucalyptus camaldulensis,River Red Gum
Salvia apiana,White Sage
Encelia californica,California Bush Sunflower
Hazardia squarrosa,Sawtooth Goldenbush
Centromadia pungens,Common Spikeweed
Tribulus terrestris,Puncture Vine
Purshia tridentata,Bitterbrush
Ranunculus occidentalis,Western Buttercup
Abies concolor,California White Fir
Juniperus occidentalis,Western Juniper
Tsuga mertensiana,Western Hemlock
Abies magnifica,Red Fir
Larrea tridentata,Creosote Bush
Delphinium parishii,Pale-flowered Larkspur
Quercus garryana,Oregon White Oak
Notholithocarpus densiflorus,Tanoak
Limnanthes alba,White Meadowfoam
Viola purpurea,Goosefoot Violet
Ambrosia chamissonis,Beach Bur
Mesembryanthemum nodiflorum,Slenderleaf Iceplant
Agave deserti,Desert Agave
Allophyllum glutinosum,Sticky Allophyllum
Ambrosia salsola,Burrobrush
Artemisia tridentata,Great Basin Sagebrush
Calyptridium monandrum,"Common Calyptridium, Sand Cress"
Camissoniopsis cheiranthifolia,Beach Primrose
Camissoniopsis hirtella,Small-haired Primrose
Castilleja miniata,Great Red Paintbrush
Cercocarpus ledifolius,Curl Leaf Mountain Mahogany
Cornus nuttallii,Western Dogwood
Croton californicus,California Croton
